# x_m,y_m,w_tr_right_m,w_tr_left_m
1533.369,-1257.023,6.000,6.000
1531.845,-1253.092,6.000,6.000
1530.742,-1249.001,6.000,6.000
1529.911,-1244.844,6.000,6.000
1529.379,-1240.636,6.000,6.000
1529.091,-1236.406,6.000,6.000
1528.950,-1232.168,6.000,6.000
1528.919,-1227.926,6.000,6.000
1528.924,-1223.685,6.000,6.000
1529.055,-1219.445,6.000,6.000
1529.241,-1215.208,6.000,6.000
1529.486,-1210.974,6.000,6.000
1529.782,-1206.743,6.000,6.000
1530.100,-1202.513,6.000,6.000
1530.245,-1198.274,6.000,6.000
1530.437,-1194.038,6.000,6.000
1530.725,-1189.806,6.000,6.000
1531.071,-1185.578,6.000,6.000
1531.453,-1181.354,6.000,6.000
1531.916,-1177.138,6.000,6.000
1532.355,-1172.919,6.000,6.000
1532.765,-1168.698,6.000,6.000
1533.166,-1164.475,6.000,6.000
1533.587,-1160.256,6.000,6.000
1534.429,-1156.099,6.000,6.000
1535.232,-1151.934,6.000,6.000
1535.972,-1147.758,6.000,6.000
1536.663,-1143.573,6.000,6.000
1537.325,-1139.383,6.000,6.000
1537.854,-1135.175,6.000,6.000
1538.300,-1130.958,6.000,6.000
1538.626,-1126.729,6.000,6.000
1538.855,-1122.494,6.000,6.000
1539.036,-1118.257,6.000,6.000
1539.102,-1114.016,6.000,6.000
1539.231,-1109.776,6.000,6.000
1539.448,-1105.542,6.000,6.000
1539.815,-1101.316,6.000,6.000
1540.169,-1097.089,6.000,6.000
1540.668,-1092.880,6.000,6.000
1541.362,-1088.696,6.000,6.000
1542.104,-1084.520,6.000,6.000
1542.392,-1080.292,6.000,6.000
1542.644,-1076.058,6.000,6.000
1542.927,-1071.826,6.000,6.000
1543.233,-1067.595,6.000,6.000
1543.467,-1063.360,6.000,6.000
1543.659,-1059.123,6.000,6.000
1543.739,-1054.884,6.000,6.000
1543.614,-1050.644,6.000,6.000
1543.411,-1046.408,6.000,6.000
1542.833,-1042.208,6.000,6.000
1542.155,-1038.021,6.000,6.000
1541.647,-1033.813,6.000,6.000
1541.214,-1029.594,6.000,6.000
1540.642,-1025.392,6.000,6.000
1539.924,-1021.212,6.000,6.000
1539.057,-1017.061,6.000,6.000
1538.044,-1012.942,6.000,6.000
1536.896,-1008.859,6.000,6.000
