# x_m,y_m,w_tr_right_m,w_tr_left_m
494.551,-283.554,5.744,6.101
499.597,-283.490,5.780,6.119
504.622,-283.750,5.888,5.900
509.586,-284.383,5.953,5.748
514.453,-285.439,5.920,5.717
519.187,-286.958,5.665,5.942
523.756,-288.927,5.645,6.222
528.130,-291.317,5.736,5.965
532.281,-294.097,5.799,5.855
536.179,-297.240,5.835,5.976
539.793,-300.714,5.862,5.910
543.096,-304.490,6.165,5.651
546.057,-308.539,5.651,5.876
548.646,-312.832,5.469,5.854
550.971,-317.262,5.509,5.556
553.512,-321.517,5.947,5.501
556.765,-325.261,5.726,5.716
560.748,-328.305,5.681,5.664
565.225,-330.550,6.051,5.621
570.011,-332.002,5.507,5.836
574.957,-332.724,5.855,5.777
579.949,-332.799,6.102,5.678
584.903,-332.325,6.026,5.850
589.802,-331.430,6.073,5.934
594.665,-330.261,5.999,6.051
599.514,-328.962,5.925,6.168
604.368,-327.677,5.916,6.186
609.237,-326.485,5.922,6.181
614.118,-325.365,5.928,6.177
619.006,-324.288,5.934,6.173
623.896,-323.225,5.940,6.169
628.782,-322.152,5.946,6.164
633.666,-321.064,5.952,6.160
638.547,-319.964,5.958,6.156
643.426,-318.854,5.964,6.152
648.305,-317.738,5.970,6.148
653.183,-316.617,5.976,6.143
658.062,-315.495,5.982,6.139
662.943,-314.374,5.988,6.135
667.825,-313.256,5.994,6.131
672.710,-312.142,6.000,6.126
677.596,-311.032,6.006,6.122
682.482,-309.925,6.012,6.118
687.369,-308.821,6.018,6.114
692.255,-307.718,6.024,6.109
697.139,-306.617,6.030,6.105
702.021,-305.516,6.036,6.101
706.901,-304.415,6.042,6.097
711.777,-303.314,6.048,6.093
716.650,-302.211,6.054,6.088
721.523,-301.104,6.060,6.084
726.398,-299.993,6.066,6.080
731.277,-298.876,6.071,6.076
736.161,-297.752,6.086,6.047
741.053,-296.618,6.110,5.986
745.954,-295.474,6.135,5.926
750.866,-294.315,5.999,6.080
755.708,-292.988,5.841,6.080
760.280,-291.117,6.012,5.823
764.421,-288.420,6.096,5.735
768.184,-285.118,6.042,5.875
771.675,-281.529,6.362,5.723
774.967,-277.767,6.150,5.947
778.124,-273.888,5.937,6.170
781.209,-269.945,5.839,6.307
784.284,-265.993,5.880,6.337
787.377,-262.055,5.921,6.367
790.485,-258.130,5.962,6.397
793.607,-254.216,6.003,6.428
796.739,-250.311,6.043,6.458
799.881,-246.413,6.084,6.488
803.029,-242.521,6.125,6.518
806.180,-238.631,6.166,6.549
809.333,-234.743,6.207,6.579
812.486,-230.854,6.248,6.609
815.638,-226.965,6.289,6.639
818.790,-223.075,6.330,6.670
821.941,-219.185,6.370,6.700
825.091,-215.294,6.411,6.730
828.241,-211.403,6.452,6.760
831.391,-207.511,6.493,6.791
834.540,-203.619,6.534,6.821
837.688,-199.726,6.575,6.851
840.837,-195.834,6.616,6.881
843.984,-191.941,6.656,6.912
847.132,-188.047,6.697,6.942
850.279,-184.153,6.738,6.972
853.426,-180.259,6.779,7.002
856.572,-176.365,6.820,7.033
859.718,-172.470,6.861,7.063
862.864,-168.575,6.902,7.093
866.010,-164.680,6.943,7.123
869.155,-160.785,6.983,7.154
872.300,-156.890,7.024,7.184
875.445,-152.994,7.065,7.214
878.589,-149.098,7.106,7.244
881.734,-145.202,7.147,7.274
884.878,-141.307,7.188,7.305
888.022,-137.411,7.229,7.335
891.166,-133.514,7.269,7.365
894.310,-129.618,7.310,7.395
897.454,-125.722,7.351,7.426
900.598,-121.826,7.392,7.456
903.741,-117.930,7.433,7.486
906.885,-114.034,7.474,7.516
910.028,-110.138,7.515,7.547
913.172,-106.242,7.556,7.577
916.316,-102.346,7.596,7.607
919.459,-98.451,7.637,7.637
922.603,-94.555,7.678,7.668
925.747,-90.660,7.719,7.698
928.890,-86.764,7.760,7.728
932.034,-82.868,7.801,7.758
935.177,-78.972,7.842,7.789
938.319,-75.075,7.883,7.819
941.461,-71.178,7.923,7.849
944.603,-67.280,7.964,7.879
947.744,-63.381,8.005,7.910
950.884,-59.482,8.150,8.030
954.024,-55.581,8.369,8.213
957.163,-51.680,8.589,8.397
960.300,-47.777,8.808,8.580
963.437,-43.873,9.027,8.764
966.573,-39.967,9.246,8.947
969.707,-36.060,9.465,9.131
972.841,-32.152,9.685,9.314
975.967,-28.238,9.904,9.498
979.066,-24.306,10.123,9.681
982.117,-20.342,10.342,9.865
985.097,-16.333,10.561,10.048
987.990,-12.266,10.814,10.387
990.801,-8.141,11.082,10.798
993.549,-3.961,11.350,11.210
996.251,0.269,11.620,11.668
998.921,4.546,11.898,12.334
1001.368,8.916,12.985,12.441
1003.135,13.489,12.876,12.237
1003.789,18.325,12.235,11.784
1003.063,23.259,10.100,10.068
1000.821,27.938,8.847,8.342
997.267,31.458,8.196,7.896
992.735,33.115,8.231,7.793
987.738,33.480,8.375,7.964
982.733,33.281,8.490,7.986
977.795,32.701,8.496,7.727
972.916,31.796,8.094,7.726
968.086,30.619,7.845,7.647
963.294,29.227,7.690,7.519
958.531,27.675,7.536,7.391
953.787,26.019,7.382,7.263
949.053,24.313,7.228,7.135
944.320,22.612,7.073,7.007
939.579,20.954,7.023,6.976
934.832,19.335,6.978,6.951
930.080,17.748,6.933,6.926
925.325,16.188,6.889,6.901
920.566,14.646,6.844,6.876
915.806,13.115,6.799,6.851
911.045,11.589,6.755,6.826
906.285,10.061,6.710,6.801
901.527,8.524,6.665,6.776
896.770,6.977,6.620,6.751
892.014,5.422,6.576,6.726
887.260,3.861,6.531,6.701
882.506,2.294,6.486,6.676
877.753,0.723,6.442,6.651
873.000,-0.850,6.406,6.634
868.246,-2.425,6.401,6.642
863.492,-4.000,6.397,6.651
858.738,-5.574,6.393,6.660
853.982,-7.145,6.388,6.668
849.225,-8.713,6.384,6.677
844.466,-10.275,6.379,6.685
839.705,-11.830,6.375,6.694
834.942,-13.378,6.370,6.703
830.176,-14.916,6.366,6.711
825.407,-16.443,6.362,6.720
820.635,-17.959,6.357,6.728
815.860,-19.463,6.353,6.737
811.081,-20.955,6.348,6.746
806.300,-22.437,6.344,6.754
801.515,-23.908,6.339,6.763
796.728,-25.371,6.335,6.771
791.939,-26.824,6.332,6.771
787.147,-28.270,6.330,6.767
782.353,-29.708,6.328,6.763
777.557,-31.139,6.325,6.759
772.760,-32.564,6.323,6.755
767.960,-33.984,6.321,6.750
763.159,-35.400,6.319,6.746
758.357,-36.811,6.317,6.742
753.553,-38.219,6.315,6.738
748.749,-39.624,6.312,6.734
743.943,-41.027,6.310,6.729
739.137,-42.428,6.308,6.725
734.330,-43.829,6.306,6.721
729.523,-45.228,6.304,6.717
724.714,-46.625,6.301,6.713
719.905,-48.020,6.299,6.708
715.096,-49.412,6.297,6.704
710.285,-50.802,6.295,6.700
705.474,-52.189,6.293,6.696
700.662,-53.573,6.290,6.692
695.849,-54.953,6.288,6.687
691.035,-56.328,6.286,6.683
686.219,-57.698,6.284,6.679
681.402,-59.060,6.282,6.675
676.583,-60.415,6.280,6.670
671.761,-61.759,6.278,6.666
666.936,-63.093,6.278,6.661
662.108,-64.414,6.279,6.656
657.276,-65.722,6.280,6.651
652.441,-67.016,6.280,6.647
647.602,-68.297,6.281,6.642
642.760,-69.566,6.282,6.637
637.915,-70.823,6.282,6.632
633.067,-72.071,6.283,6.627
628.217,-73.310,6.284,6.622
623.364,-74.541,6.284,6.617
618.510,-75.764,6.285,6.612
613.654,-76.982,6.286,6.607
608.797,-78.195,6.286,6.602
603.938,-79.404,6.287,6.597
599.079,-80.610,6.288,6.592
594.219,-81.814,6.288,6.590
589.359,-83.017,6.288,6.596
584.499,-84.220,6.288,6.602
579.640,-85.425,6.288,6.607
574.780,-86.632,6.288,6.613
569.922,-87.841,6.288,6.618
565.064,-89.054,6.288,6.624
560.206,-90.268,6.288,6.630
555.349,-91.483,6.288,6.635
550.492,-92.697,6.288,6.641
545.634,-93.909,6.288,6.647
540.776,-95.118,6.288,6.652
535.916,-96.322,6.288,6.658
531.055,-97.521,6.288,6.664
526.193,-98.714,6.288,6.669
521.329,-99.898,6.288,6.675
516.464,-101.074,6.287,6.680
511.595,-102.239,6.287,6.686
506.725,-103.394,6.287,6.692
501.851,-104.535,6.287,6.697
