# x_m,y_m,w_tr_right_m,w_tr_left_m
1290.884,-2121.781,7.000,7.000
1286.787,-2121.755,7.000,7.000
1282.691,-2121.410,7.000,7.000
1278.594,-2120.974,6.832,6.832
1274.446,-2120.629,6.436,6.436
1270.234,-2120.424,6.246,6.246
1265.971,-2120.309,6.197,6.197
1261.656,-2120.270,6.181,6.181
1257.291,-2120.424,6.131,6.131
1252.951,-2120.808,6.057,6.057
1248.662,-2121.448,5.990,5.990
1244.348,-2122.511,5.926,5.926
1239.700,-2124.418,5.872,5.872
1234.746,-2127.375,5.827,5.827
1229.561,-2131.485,5.831,5.831
1224.184,-2136.824,5.897,5.897
1219.076,-2142.943,5.995,5.995
1214.851,-2148.999,6.137,6.137
1211.241,-2154.964,6.317,6.317
1208.309,-2160.546,6.370,6.370
1206.030,-2165.654,6.346,6.346
1203.931,-2170.647,6.324,6.324
1201.934,-2175.563,6.276,6.276
1200.205,-2180.211,6.246,6.246
1198.579,-2184.743,6.253,6.253
1196.941,-2189.275,6.256,6.256
1195.353,-2193.807,6.215,6.215
1193.702,-2198.454,6.144,6.144
1191.961,-2203.255,6.074,6.074
1190.207,-2207.979,6.029,6.029
1188.478,-2212.549,6.028,6.028
1186.776,-2216.966,6.056,6.056
1185.060,-2221.229,6.111,6.111
1182.999,-2225.851,6.118,6.118
1180.118,-2231.330,6.059,6.059
1176.137,-2237.693,5.988,5.988
1170.824,-2244.875,5.886,5.886
1164.231,-2252.505,5.783,5.783
1157.318,-2259.137,5.729,5.729
1150.481,-2264.463,5.704,5.704
1144.246,-2268.291,5.677,5.677
1138.805,-2270.633,5.677,5.677
1133.979,-2272.042,5.710,5.710
1129.511,-2272.963,5.734,5.734
1125.209,-2273.616,5.816,5.816
1120.997,-2274.064,5.938,5.938
1116.837,-2274.397,6.083,6.083
1112.689,-2274.679,6.262,6.262
1108.541,-2274.884,6.422,6.422
1104.393,-2275.025,6.533,6.533
1100.245,-2275.076,6.539,6.539
1096.097,-2275.025,6.423,6.423
1091.949,-2274.884,6.194,6.194
1087.801,-2274.692,5.883,5.883
1083.653,-2274.474,5.539,5.539
1079.505,-2274.308,5.276,5.276
1075.357,-2274.193,5.095,5.095
1071.209,-2274.128,4.996,4.996
1067.061,-2274.116,4.978,4.978
1062.913,-2274.154,5.008,5.008
1058.765,-2274.244,5.080,5.080
1054.617,-2274.385,5.193,5.193
1050.469,-2274.577,5.346,5.346
1046.321,-2274.794,5.520,5.520
1042.173,-2274.961,5.654,5.654
1038.025,-2275.076,5.746,5.746
1033.877,-2275.140,5.797,5.797
1029.730,-2275.153,5.807,5.807
1025.582,-2275.153,5.807,5.807
1021.434,-2275.153,5.807,5.807
1017.286,-2275.153,5.807,5.807
1013.138,-2275.153,5.805,5.805
1008.990,-2275.153,5.771,5.771
1004.842,-2275.153,5.696,5.696
1000.694,-2275.153,5.580,5.580
996.546,-2275.153,5.423,5.423
992.398,-2275.153,5.252,5.252
988.250,-2275.153,5.122,5.122
984.102,-2275.153,5.034,5.034
979.954,-2275.153,4.986,4.986
975.806,-2275.165,4.988,4.988
971.658,-2275.229,5.039,5.039
967.510,-2275.345,5.131,5.131
963.362,-2275.511,5.264,5.264
959.214,-2275.729,5.438,5.438
955.066,-2275.921,5.592,5.592
950.918,-2276.062,5.705,5.705
946.770,-2276.151,5.776,5.776
942.623,-2276.190,5.807,5.807
938.475,-2276.190,5.807,5.807
934.327,-2276.190,5.807,5.807
930.179,-2276.190,5.807,5.807
926.031,-2276.190,5.807,5.807
921.883,-2276.190,5.801,5.801
917.735,-2276.190,5.758,5.758
913.587,-2276.190,5.675,5.675
909.439,-2276.190,5.550,5.550
905.291,-2276.190,5.384,5.384
901.143,-2276.190,5.222,5.222
896.995,-2276.190,5.101,5.101
892.847,-2276.190,5.021,5.021
888.699,-2276.190,4.982,4.982
884.551,-2276.190,4.978,4.978
880.403,-2276.190,4.978,4.978
876.255,-2276.190,4.978,4.978
872.107,-2276.190,4.978,4.978
867.959,-2276.190,4.978,4.978
863.811,-2276.190,5.005,5.005
859.663,-2276.190,5.073,5.073
855.515,-2276.190,5.182,5.182
851.368,-2276.190,5.332,5.332
847.220,-2276.190,5.506,5.506
843.072,-2276.190,5.643,5.643
838.924,-2276.151,5.708,5.708
834.776,-2276.062,5.718,5.718
830.628,-2275.870,5.680,5.680
826.441,-2275.473,5.627,5.627
822.204,-2274.794,5.598,5.598
817.915,-2273.757,5.632,5.632
813.537,-2272.183,5.672,5.672
809.094,-2270.045,5.718,5.718
804.703,-2267.292,5.758,5.758
800.414,-2263.848,5.768,5.768
796.356,-2259.841,5.775,5.775
792.758,-2255.424,5.770,5.770
789.673,-2250.726,5.778,5.778
787.228,-2246.002,5.777,5.777
785.448,-2241.406,5.765,5.765
784.271,-2236.963,5.759,5.759
783.579,-2232.675,5.754,5.754
783.310,-2228.488,5.747,5.747
783.362,-2224.340,5.745,5.745
783.720,-2220.192,5.747,5.747
784.437,-2216.019,5.747,5.747
785.704,-2211.666,5.747,5.747
787.945,-2206.903,5.756,5.756
791.465,-2201.719,5.776,5.776
796.266,-2196.226,5.819,5.819
802.219,-2190.721,5.871,5.871
808.697,-2185.856,5.947,5.947
814.932,-2182.093,5.991,5.991
820.655,-2179.455,5.998,5.998
825.788,-2177.893,5.975,5.975
830.359,-2177.151,5.925,5.925
834.648,-2176.818,5.871,5.871
838.885,-2176.677,5.833,5.833
843.072,-2176.639,5.816,5.816
847.220,-2176.639,5.807,5.807
851.368,-2176.677,5.807,5.807
855.515,-2176.767,5.807,5.807
859.663,-2176.908,5.807,5.807
863.811,-2177.100,5.801,5.801
867.959,-2177.356,5.789,5.789
872.107,-2177.625,5.777,5.777
876.255,-2177.945,5.791,5.791
880.403,-2178.316,5.812,5.812
884.551,-2178.713,5.858,5.858
888.699,-2179.097,5.904,5.904
892.847,-2179.404,5.933,5.933
896.995,-2179.609,5.911,5.911
901.143,-2179.724,5.883,5.883
905.291,-2179.827,5.868,5.868
909.439,-2179.942,5.872,5.872
913.587,-2180.108,5.901,5.901
917.735,-2180.326,5.938,5.938
921.883,-2180.531,5.967,5.967
926.031,-2180.736,5.938,5.938
930.179,-2180.940,5.901,5.901
934.327,-2181.145,5.863,5.863
938.475,-2181.363,5.826,5.826
942.623,-2181.516,5.776,5.776
946.770,-2181.568,5.732,5.732
950.918,-2181.504,5.687,5.687
955.066,-2181.273,5.641,5.641
